,name,league,games_home,wins_home,draws_home,losses_home,goals_for_home,goals_against_home,goal_diff_home,points_home,points_avg_home,games_away,wins_away,draws_away,losses_away,goals_for_away,goals_against_away,goal_diff_away,points_away,points_avg_away,top_team_scorers,top_keeper
11,Burton Albion,League One,17,6,8,3,19,14,+5,26,1.53,18,6,4,8,31,36,-5,22,22,Lucas Akins - 9,Kieran O'Hara
12,Blackpool,League One,17,9,2,6,27,23,+4,29,1.71,18,2,10,6,17,20,-3,16,16,Armand Gnanduillet - 15,Jak Alnwick
13,Bristol Rovers,League One,18,7,6,5,23,19,+4,27,1.50,17,5,3,9,15,30,-15,18,18,Jonson Clarke-Harris - 13,Anssi Jaakkola
14,Lincoln City,League One,17,10,3,4,28,18,+10,33,1.94,18,2,3,13,16,28,-12,9,9,Tyler Walker - 13,Josh Vickers
15,Shrewsbury,League One,17,6,5,6,21,24,-3,23,1.35,17,4,6,7,10,18,-8,18,18,"Daniel Udoh, Jason Cummings... - 4",Max O'Leary
16,Acc'ton Stanley,League One,17,7,2,8,33,27,+6,23,1.35,18,3,8,7,14,26,-12,17,17,Colby Bishop - 10,Dimitar Evtimov
17,MK Dons,League One,18,9,1,8,20,21,-1,28,1.56,17,1,6,10,16,26,-10,9,9,Rhys Healey - 11,Lee Nicholls
18,Rochdale,League One,16,5,4,7,19,22,-3,19,1.19,18,5,2,11,20,35,-15,17,17,Ian Henderson - 15,Robert Lynch Sanchez
19,AFC Wimbledon,League One,18,5,9,4,18,18,0,24,1.33,17,3,2,12,21,34,-13,11,11,Marcus Forss - 11,Nathan Trott
20,Tranmere Rovers,League One,17,3,6,8,19,26,-7,15,0.88,17,5,2,10,17,34,-17,17,17,Morgan Ferrier - 5,Scott Davies
21,Southend United,League One,17,2,4,11,18,42,-24,10,0.59,18,2,3,13,21,43,-22,9,9,"Charlie Kelman, Stephen Humphrys - 5",Mark Oxley
22,Bolton,League One,17,4,8,5,17,23,-6,20,1.18,17,1,3,13,10,43,-33,6,6,Daryl Murphy - 8,Remi Matthews
23,Bury,League One,,,,,,,,,,,,,,,,,,,,
0,Leeds United,Championship,18,11,4,3,26,13,+13,37,2.06,19,10,4,5,30,17,+13,34,34,Patrick Bamford - 13,Kiko Casilla
1,West Brom,Championship,18,8,7,3,36,23,+13,31,1.72,19,11,6,2,28,14,+14,39,39,Hal Robson-Kanu - 10,Sam Johnstone
2,Fulham,Championship,19,12,2,5,32,21,+11,38,2.00,18,6,8,4,20,17,+3,26,26,Aleksandar Mitrović - 23,Marek Rodák
3,Brentford,Championship,18,10,5,3,36,15,+21,35,1.94,19,7,4,8,28,18,+10,25,25,Ollie Watkins - 22,David Raya
4,Nott'ham Forest,Championship,18,8,4,6,20,19,+1,28,1.56,19,8,8,3,28,19,+9,32,32,Lewis Grabban - 17,Brice Samba
5,Preston,Championship,19,11,3,5,35,24,+11,36,1.89,18,5,5,8,15,21,-6,20,20,Daniel Johnson - 11,Declan Rudd
6,Bristol City,Championship,18,7,5,6,25,27,-2,26,1.44,19,8,5,6,26,26,0,29,29,Famara Diedhiou - 10,Daniel Bentley
