,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
57,Charlie Birch\Charlie-Birch,eng ENG,DF,Carlisle United,,,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Neal Bishop\Neal-Bishop,eng ENG,MF,Mansfield Town,37,1981,28,27,2334,0,1,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
59,Mason Bloomfield\Mason-Bloomfield,eng ENG,FWMF,Crawley Town,22,1996,21,10,1034,3,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches
60,Jacob Blyth\Jacob-Blyth,eng ENG,FW,Macclesfield,26,1992,19,0,184,1,0,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches
61,Cameron Borthwick-Jackson\Cameron-Borthwick-Jackson,eng ENG,DF,Oldham Athletic,22,1997,6,6,529,0,1,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
62,Ryan Bowman\Ryan-Bowman,eng ENG,FW,Exeter City,27,1991,37,36,3240,13,0,1,1,8,0,0.36,0.00,0.36,0.33,0.33,Matches
63,Daniel Bowry\Daniel-Bowry,ag ATG,DF,Cheltenham,21,1998,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Will Boyle\Will-Boyle,eng ENG,DF,Cheltenham,23,1995,13,11,998,2,0,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
65,Harvey Bradbury\Harvey-Bradbury,eng ENG,FW,Morecambe,20,1998,3,0,43,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Cohen Bramall\Cohen-Bramall,eng ENG,DF,Colchester Utd,23,1996,24,24,2085,1,5,0,0,2,0,0.04,0.22,0.26,0.04,0.26,Matches
67,Johan Branger\Johan-Branger,ga GAB,MF,Oldham Athletic,26,1993,16,9,806,2,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches
68,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Carlisle United,17,2002,9,9,765,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Tom Brewitt\Tom-Brewitt,eng ENG,MF,Morecambe,22,1997,22,17,1528,1,2,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches
70,Jack Bridge\Jack-Bridge,eng ENG,MF,Carlisle United,23,1995,28,20,1733,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
71,Dean Brill\Dean-Brill,eng ENG,GK,Leyton Orient,33,1985,19,19,1633,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Shaun Brisley\Shaun-Brisley,eng ENG,DF,Port Vale,29,1990,9,6,602,1,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
73,Tom Broadbent\Tom-Broadbent,eng ENG,DF,Swindon Town,27,1992,9,3,482,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Ryan Broom\Ryan-Broom,wal WAL,MF,Cheltenham,22,1996,34,33,2916,8,7,0,0,7,0,0.25,0.22,0.46,0.25,0.46,Matches
75,James Brophy\James-Brophy,eng ENG,MFDF,Leyton Orient,25,1994,34,29,2731,2,1,0,0,5,0,0.07,0.03,0.10,0.07,0.10,Matches
76,Jevani Brown\Jevani-Brown,jm JAM,MF,FG Rovers,24,1994,5,5,298,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Jevani Brown\Jevani-Brown,jm JAM,MF,Colchester Utd,24,1994,11,5,471,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Junior Brown\Junior-Brown,eng ENG,DFMF,Scunthorpe Utd,30,1989,20,20,1738,0,2,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
79,Scott Brown\Scott-Brown,eng ENG,GK,Port Vale,34,1985,37,37,3330,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
